School ID,School Name,Network,Subject,Grade,2014 # Tested,2014 % Students Making National Average Growth,2014 National School Growth Percentile,2015 # Tested,2015 % Students Making National Average Growth,2015 National School Growth Percentile,2016 # Tested,2016 % Students Making National Average Growth,2016 National School Growth Percentile
400028,CICS - PRAIRIE,Charter,MATH,Grade 4,31,48.4,21,27,59.3,57,51,66.7,95
400028,CICS - PRAIRIE,Charter,MATH,Grade 5,29,31,7,31,61.3,74,28,35.7,19
400028,CICS - PRAIRIE,Charter,MATH,Grade 6,45,40,15,26,34.6,8,28,21.4,3
400028,CICS - PRAIRIE,Charter,MATH,Grade 7,47,55.3,58,38,65.8,87,28,46.4,61
400028,CICS - PRAIRIE,Charter,MATH,Grade 8,52,30.8,2,43,51.2,47,41,56.1,66
400028,CICS - PRAIRIE,Charter,MATH,Grades 3-8 Combined,225,40,14,212,49.5,42,219,48.9,58
400028,CICS - PRAIRIE,Charter,READING,Grade 3,21,19,1,47,31.9,3,43,27.9,2
400028,CICS - PRAIRIE,Charter,READING,Grade 4,31,32.3,1,27,74.1,99,51,52.9,55
400028,CICS - PRAIRIE,Charter,READING,Grade 5,29,58.6,54,31,77.4,99,28,39.3,19
400028,CICS - PRAIRIE,Charter,READING,Grade 6,45,31.1,6,26,46.2,17,28,46.4,15
400028,CICS - PRAIRIE,Charter,READING,Grade 7,47,70.2,77,38,55.3,71,28,67.9,85
400028,CICS - PRAIRIE,Charter,READING,Grade 8,52,44.2,20,43,39.5,28,41,61,83
400028,CICS - PRAIRIE,Charter,READING,Grades 3-8 Combined,225,44.9,11,212,51.4,64,219,48.9,40
400029,CICS - WASHINGTON PARK,Charter,MATH,Grade 3,48,45.8,22,29,51.7,54,54,29.6,7
400029,CICS - WASHINGTON PARK,Charter,MATH,Grade 4,52,69.2,83,55,26.8,5,29,24.1,1
400029,CICS - WASHINGTON PARK,Charter,MATH,Grade 5,44,29.5,9,49,16.3,1,52,32.7,12
400029,CICS - WASHINGTON PARK,Charter,MATH,Grade 6,37,37.8,25,45,57.8,55,42,28.6,34
400029,CICS - WASHINGTON PARK,Charter,MATH,Grade 7,42,61.9,88,42,40.5,14,41,56.1,45
400029,CICS - WASHINGTON PARK,Charter,MATH,Grade 8,42,47.6,28,40,45,19,47,46.8,48
400029,CICS - WASHINGTON PARK,Charter,MATH,Grades 3-8 Combined,265,49.4,42,260,37.9,14,265,36.6,17
400029,CICS - WASHINGTON PARK,Charter,READING,Grade 3,48,37.5,10,29,55.2,40,55,43.6,18
400029,CICS - WASHINGTON PARK,Charter,READING,Grade 4,52,50,11,56,47.4,3,30,33.3,23
400029,CICS - WASHINGTON PARK,Charter,READING,Grade 5,44,45.5,14,47,61.7,64,52,71.2,91
400029,CICS - WASHINGTON PARK,Charter,READING,Grade 6,39,46.2,28,46,56.5,67,42,59.5,76
400029,CICS - WASHINGTON PARK,Charter,READING,Grade 7,44,77.3,95,42,52.4,44,41,58.5,70
400029,CICS - WASHINGTON PARK,Charter,READING,Grade 8,43,48.8,52,40,50,30,47,80.9,96
400029,CICS - WASHINGTON PARK,Charter,READING,Grades 3-8 Combined,270,50.7,31,260,53.6,38,267,59.2,71
400030,CICS - WEST BELDEN,Charter,MATH,Grade 3,47,40.4,68,43,32.6,11,46,47.8,37
400030,CICS - WEST BELDEN,Charter,MATH,Grade 4,51,52.9,53,47,27.7,1,53,58.5,69
400030,CICS - WEST BELDEN,Charter,MATH,Grade 5,54,37,30,55,69.1,83,56,69.6,86
400030,CICS - WEST BELDEN,Charter,MATH,Grade 6,58,29.3,13,50,76,87,51,43.1,39
400030,CICS - WEST BELDEN,Charter,MATH,Grade 7,54,63,80,55,63.6,86,53,52.8,32
400030,CICS - WEST BELDEN,Charter,MATH,Grade 8,46,37,13,54,46.3,30,53,50.9,39
400030,CICS - WEST BELDEN,Charter,MATH,Grades 3-8 Combined,310,43.2,42,304,53.6,45,312,54.2,55
400030,CICS - WEST BELDEN,Charter,READING,Grade 3,47,42.6,48,43,51.2,13,46,28.3,1
400030,CICS - WEST BELDEN,Charter,READING,Grade 4,51,29.4,4,47,53.2,40,53,50.9,17
400030,CICS - WEST BELDEN,Charter,READING,Grade 5,54,42.6,29,55,65.5,94,56,50,50
400030,CICS - WEST BELDEN,Charter,READING,Grade 6,58,44.8,26,50,80,99,51,78.4,95
400030,CICS - WEST BELDEN,Charter,READING,Grade 7,54,68.5,92,55,89.1,99,53,64.2,71
400030,CICS - WEST BELDEN,Charter,READING,Grade 8,46,58.7,85,54,38.9,18,53,69.8,67
400030,CICS - WEST BELDEN,Charter,READING,Grades 3-8 Combined,310,47.7,43,304,63.5,78,312,57.4,40
400031,CICS - WRIGHTWOOD,Charter,MATH,Grade 3,83,83.1,97,82,45.1,37,91,27.5,5
